"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"HF.UHC.NOPX.ZS.Q5","","Proportion of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line (%)               : Q5 (highest)","","Percentage of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOP.CG","","Mean household per capita out-of-pocket health spending ($ 2011 PPP)","","Mean household per capita out-of-pocket health spending ($ 2011 PPP)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOP.ZS","","Mean share of household consumption or income used on out-of-pocket health spending (%)","","Mean share of household consumption or income used on out-of-pocket health spending (%)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOP.ZS.Q1","","Mean share of household consumption or income used on out-of-pocket health spending (%): Q1 (lowest)","","Mean share of household consumption or income used on out-of-pocket health spending (%)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOP.ZS.Q2","","Mean share of household consumption or income used on out-of-pocket health spending (%): Q2","","Mean share of household consumption or income used on out-of-pocket health spending (%)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOP.ZS.Q3","","Mean share of household consumption or income used on out-of-pocket health spending (%): Q3","","Mean share of household consumption or income used on out-of-pocket health spending (%)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOP.ZS.Q4","","Mean share of household consumption or income used on out-of-pocket health spending (%): Q4","","Mean share of household consumption or income used on out-of-pocket health spending (%)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOP.ZS.Q5","","Mean share of household consumption or income used on out-of-pocket health spending (%): Q5 (highest)","","Mean share of household consumption or income used on out-of-pocket health spending (%)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.10.ZS","","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","","Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.10.ZS.Q1","","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%): Q1 (lowest)","","Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.10.ZS.Q2","","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%): Q2","","Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.10.ZS.Q3","","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%): Q3","","Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.10.ZS.Q4","","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%): Q4","","Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.10.ZS.Q5","","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%): Q5 (highest)","","Percentage of population with out-of-pocket health spending larger than 10% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.25.ZS","","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)","","Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.25.ZS.Q1","","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%): Q1 (lowest)","","Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.25.ZS.Q2","","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%): Q2","","Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.25.ZS.Q3","","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%): Q3","","Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.25.ZS.Q4","","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%): Q4","","Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.OOPC.25.ZS.Q5","","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%): Q5 (highest)","","Percentage of population with out-of-pocket health spending larger than 25% of total household expenditure","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UWT.TFRT","","Unmet need for contraception (% of females ages 15-49)","","Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UWT.TFRT.Q1","","Unmet need for contraception (% of females ages 15-49): Q1 (lowest)","","Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UWT.TFRT.Q2","","Unmet need for contraception (% of females ages 15-49): Q2","","Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UWT.TFRT.Q3","","Unmet need for contraception (% of females ages 15-49): Q3","","Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UWT.TFRT.Q4","","Unmet need for contraception (% of females ages 15-49): Q4","","Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UWT.TFRT.Q5","","Unmet need for contraception (% of females ages 15-49): Q5 (highest)","","Percentage of women age 15-49 who are married or live in union who do not want to become pregnant but are not using contraception (revised definition by Bradley et al. 2012)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
